TripCount,Frequency
0,13
1,310
2,3176
3,16805
4,59269
5,155847
6,331426
7,592678
8,913104
9,1222568
10,1423609
11,1453655
12,1300548
13,1020683
14,701458
15,422359
16,221871
17,101826
18,40099
19,13619
20,3957
21,898
22,188
23,30
24,3
25,1
26,0
27,0
28,0
29,0
30,0
31,0
